username,email,role,id_code,password
scarlett.wilson,scarlett.wilson@courpera.com,student,S50489,E=L6}3he]c73MNr
wyatt.ramirez,wyatt.ramirez@courpera.com,student,S75575,4}K2gr&vF5Wm[}4U
gabriel.brown,gabriel.brown@courpera.com,student,S24915,3AX#hmtLKPM8vq4VzV
lucas.rivera,lucas.rivera@courpera.com,student,S33387,m5C!(XrU:J3uTXXm
aurora.smith,aurora.smith@courpera.com,student,S05818,:uq*KYh5]m5t3n
lillian.nguyen,lillian.nguyen@courpera.com,student,S92902,"+)L8?[,N96zE,+c"
noah.gonzalez,noah.gonzalez@courpera.com,student,S57155,xrqUNL4Q_8P&
violet.rodriguez,violet.rodriguez@courpera.com,student,S00222,f7!Z#bZf%5}DT.6
henry.collins,henry.collins@courpera.com,student,S68147,rDRL2[nZsg7tQ.TY
eleanor.torres,eleanor.torres@courpera.com,student,S70576,}n+@9G*pEXqDe*e8L
lillian.cooper,lillian.cooper@courpera.com,student,S90028,&+X}xHQ95d?T+n.ccx
gabriel.young,gabriel.young@courpera.com,student,S94298,"c5uW$J,8AM2n*{+y$"
stella.collins,stella.collins@courpera.com,student,S97249,L5Ms2Gj39X.Fjf
josiah.baker,josiah.baker@courpera.com,student,S96606,@}B3Dm=JU7)XT
hudson.roberts,hudson.roberts@courpera.com,student,S87901,wa-rQ!qg(G5_(4cVg6
noah.king,noah.king@courpera.com,student,S25826,4(VcC5L-sxu+
harper.collins,harper.collins@courpera.com,student,S47740,6RvkS^RmJDnm9=
hazel.wilson,hazel.wilson@courpera.com,student,S56532,t8R^h:4KE2)8Mume]p
henry.nguyen,henry.nguyen@courpera.com,student,S09172,fB[2sHAx3v+e
wyatt.gutierrez,wyatt.gutierrez@courpera.com,student,S87063,U5tKu#bmqgtkfv2+S
daniel.thomas,daniel.thomas@courpera.com,student,S43280,Y#kh6D]?{M%2Np
brooklyn.ramos,brooklyn.ramos@courpera.com,student,S81679,rZd5D(3!^Yy9B2nn
owen.roberts,owen.roberts@courpera.com,student,S41146,mD^?T4ZunHs7:tDe
michael.thompson,michael.thompson@courpera.com,student,S86952,=C*MsvEEAeY5]H&f
mateo.mitchell,mateo.mitchell@courpera.com,student,S16335,{YseW7Y.5q^AS:3ys
sebastian.brooks,sebastian.brooks@courpera.com,student,S94340,33X87x&Da(2=:N[
grayson.perez,grayson.perez@courpera.com,student,S39364,"pk7G4][vcaNPx,W"
leo.james,leo.james@courpera.com,student,S66470,ZM643kd#2=Z2[*R
dylan.evans,dylan.evans@courpera.com,student,S40539,5):ERUh_)U9:
henry.watson,henry.watson@courpera.com,student,S87411,"8N_P!9jL}.NQU8.,}V"
isla.gomez,isla.gomez@courpera.com,student,S53529,dM*3asrJ@8m@u
benjamin.ortiz,benjamin.ortiz@courpera.com,student,S42754,(z%2M?5#*)DgR5
ava.lee,ava.lee@courpera.com,student,S52744,%xd99eY?Xa3Bjjns$
luke.rodriguez,luke.rodriguez@courpera.com,student,S91385,"wEB(T86qk,D?84"
leo.gonzalez,leo.gonzalez@courpera.com,student,S38753,"8^,KGZ,k,qkR-%"
elena.reed,elena.reed@courpera.com,student,S72668,A*4X69r!S&&M6:A9WE
alexander.cook,alexander.cook@courpera.com,student,S16684,wm*Cya6eXS?8f
natalie.richardson,natalie.richardson@courpera.com,student,S25145,88DBPc6_VmR-ruT]N
eliana.murphy,eliana.murphy@courpera.com,student,S55109,$f3kYEG%cqqNF$
penelope.rivera,penelope.rivera@courpera.com,student,S87154,P]3HW8X@.Z&Qj}S8Q8
grace.gutierrez,grace.gutierrez@courpera.com,student,S49696,v2^Xgb*(u.KV)
lucas.murphy,lucas.murphy@courpera.com,student,S88778,"{$$re3T,wacv-zG{"
josiah.wilson,josiah.wilson@courpera.com,student,S98060,PAw$a[D#R)5F8.T.p(
david.cox,david.cox@courpera.com,student,S22811,Q]6[b}qzYVdtcSx)uy
henry.wright,henry.wright@courpera.com,student,S80677,"GG{3r8tp]e,434-{gM"
elias.martinez,elias.martinez@courpera.com,student,S74594,GV?rFE%6!:*fVu
lucas.hall,lucas.hall@courpera.com,student,S39447,xg3#uj2$xTph[4FQD
stella.rodriguez,stella.rodriguez@courpera.com,student,S53226,zfG{Q7@Kj:YK
